sample_id,label,preprocess,inference_mode,prediction,correct,logit0,logit1,logit2,logit3,logit4,logit5,logit6,logit7,logit8,logit9
m1_0_01,0,simple,float,0,1,3.072606086730957,-7.73721170425415,-2.00131893157959,1.0984314680099487,-1.3625571727752686,-3.422548770904541,-1.588221549987793,-2.595149040222168,2.1334197521209717,1.4225492477416992
m1_0_02,0,simple,float,0,1,3.0452442169189453,-8.596983909606934,-1.6873868703842163,1.0501587390899658,-1.0697307586669922,-3.608710527420044,-2.2538726329803467,-2.8026905059814453,2.45283579826355,2.209350109100342
m1_0_03,0,simple,float,0,1,2.9915013313293457,-8.52029037475586,-2.269585609436035,0.8002089262008667,-0.9961085319519043,-3.2924041748046875,-1.2863402366638184,-3.0353822708129883,2.583810567855835,1.9461722373962402
m1_0_04,0,simple,float,0,1,3.1420981884002686,-7.610498428344727,-2.749220848083496,0.6777598857879639,-1.521775484085083,-3.1232919692993164,-1.274656891822815,-2.3845767974853516,2.3947179317474365,1.4468493461608887
m1_0_05,0,simple,float,0,1,3.312605619430542,-7.769406318664551,-1.7487519979476929,0.8322130441665649,-1.9532517194747925,-3.633845329284668,-1.7460384368896484,-2.5128026008605957,2.441570997238159,1.56205415725708
m1_1_01,1,simple,float,8,0,2.5175108909606934,-7.15828275680542,-0.6426418423652649,0.5932139754295349,0.6606839895248413,-4.626845359802246,-2.597689151763916,-3.6880440711975098,3.764401912689209,0.29265299439430237
m1_1_02,1,simple,float,0,0,1.871584415435791,-2.5309016704559326,-3.342866897583008,-2.5712757110595703,0.4871256947517395,-4.278964042663574,-3.694070339202881,-0.40994560718536377,-0.0785742700099945,-1.641981601715088
m1_1_03,1,simple,float,0,0,1.6436100006103516,-2.788501739501953,-3.5202226638793945,-2.31654953956604,0.4331939220428467,-4.679859161376953,-3.907276153564453,-0.11389529705047607,0.5378833413124084,-1.5029574632644653
m1_1_04,1,simple,float,0,0,1.6638495922088623,-2.44523024559021,-3.613431215286255,-2.067270278930664,0.5614074468612671,-3.9183483123779297,-3.748443126678467,-0.42350149154663086,-0.339188814163208,-1.3148865699768066
m1_1_05,1,simple,float,0,0,1.3579554557800293,-1.7642478942871094,-3.8056554794311523,-2.8255910873413086,0.9593292474746704,-3.7395055294036865,-3.2518417835235596,-0.43416714668273926,-0.5074426531791687,-1.64156174659729
