sample_id,label,preprocess,inference_mode,prediction,correct,logit0,logit1,logit2,logit3,logit4,logit5,logit6,logit7,logit8,logit9
m1_0_01,0,full,float,0,1,10.5477876663208,-6.484650611877441,-0.17539766430854797,-5.933358192443848,-8.212868690490723,-2.1634387969970703,-2.287226676940918,-4.385949611663818,-3.5123326778411865,-2.342547655105591
m1_0_02,0,full,float,0,1,11.97079086303711,-13.21898078918457,0.8680484294891357,-3.4455316066741943,-8.466621398925781,-4.046385765075684,-5.345298767089844,-3.181166648864746,-3.9990601539611816,1.7556946277618408
m1_0_03,0,full,float,0,1,11.384298324584961,-10.914544105529785,-1.660430669784546,-5.099486351013184,-9.05677318572998,-1.3400037288665771,-2.0448734760284424,-1.4634402990341187,-3.5165581703186035,-1.2598230838775635
m1_0_04,0,full,float,0,1,12.417163848876953,-11.08800220489502,-1.3160829544067383,-4.786258697509766,-9.570435523986816,-1.0119051933288574,-1.505558729171753,-3.45326828956604,-3.8297152519226074,-2.197942018508911
m1_0_05,0,full,float,0,1,10.971487998962402,-11.463626861572266,-3.113081455230713,-3.68977689743042,-9.301426887512207,-1.4477461576461792,-2.060676336288452,-3.129622459411621,-1.6645517349243164,-0.27493178844451904
m1_1_01,1,full,float,1,1,-8.26358413696289,7.127006530761719,-0.8055848479270935,2.7741165161132812,-7.275679588317871,-6.065211296081543,-12.741010665893555,0.9674134254455566,1.4303386211395264,-1.094802737236023
m1_1_02,1,full,float,1,1,-2.7587738037109375,9.09992504119873,-2.4173805713653564,-9.113819122314453,0.7113513350486755,-4.974224090576172,-4.115514278411865,-3.7406866550445557,-0.12554076313972473,-5.859764099121094
m1_1_03,1,full,float,1,1,-0.8567953109741211,6.649357318878174,-2.407926559448242,-9.246152877807617,-1.0732020139694214,-3.6511054039001465,-0.9671600461006165,-6.098588943481445,0.8465582132339478,-6.881081581115723
m1_1_04,1,full,float,1,1,-1.0485843420028687,6.854116439819336,-1.4091178178787231,-8.319340705871582,-1.8948800563812256,-3.991426944732666,-1.2957210540771484,-5.240495204925537,0.46773001551628113,-7.500046730041504
m1_1_05,1,full,float,1,1,-6.625668525695801,4.837830066680908,-3.3150124549865723,-1.582299828529358,2.4283947944641113,-4.568789482116699,-6.4418253898620605,0.431807279586792,-1.4105943441390991,-1.1486573219299316
m1_2_01,2,full,float,2,1,-5.884936809539795,3.899247407913208,14.500327110290527,6.298023223876953,-14.44259262084961,-12.000480651855469,-16.651443481445312,0.8895092010498047,-2.210742712020874,-9.243249893188477
m1_2_02,2,full,float,2,1,-5.124452114105225,1.4855661392211914,11.503457069396973,6.33061408996582,-14.160704612731934,-7.27425479888916,-14.054618835449219,-0.6684441566467285,-1.2791423797607422,-6.404487133026123
m1_2_03,2,full,float,2,1,-4.242807388305664,1.4922585487365723,14.61876106262207,1.3127226829528809,-10.63131332397461,-10.860913276672363,-10.904438018798828,-3.0304770469665527,3.1849098205566406,-7.362027645111084
m1_2_04,2,full,float,2,1,-5.27354621887207,3.895763874053955,14.551980972290039,1.0524704456329346,-7.88053560256958,-11.244344711303711,-9.994297981262207,-0.1499018669128418,-2.980146646499634,-11.3779296875
m1_2_05,2,full,float,2,1,-6.298468589782715,8.683578491210938,10.865999221801758,-0.7438569664955139,-8.875856399536133,-6.504978179931641,-8.942120552062988,0.20592737197875977,-1.7926530838012695,-13.6965913772583
m1_3_01,3,full,float,3,1,-11.42372989654541,-4.4915361404418945,-8.9222993850708,14.955735206604004,-4.800834655761719,5.29876184463501,-6.615330696105957,-4.6413373947143555,-0.1764708012342453,-1.3884690999984741
m1_3_02,3,full,float,3,1,-11.282364845275879,-3.0929019451141357,-3.1471762657165527,13.445745468139648,-4.803802013397217,1.0870105028152466,-8.347576141357422,-2.7433173656463623,-0.3963886797428131,-4.150813102722168
m1_3_03,3,full,float,3,1,-12.693622589111328,-5.106081485748291,-2.47469425201416,15.016467094421387,-5.268948554992676,0.9776087999343872,-11.39533805847168,-0.6146166324615479,-1.1682683229446411,-0.9740249514579773
m1_3_04,3,full,float,3,1,-15.390753746032715,-0.9606747627258301,-7.8085150718688965,17.64111328125,-5.854261875152588,4.5008392333984375,-10.457535743713379,-3.773421287536621,-0.8674787878990173,-3.6912689208984375
m1_3_05,3,full,float,3,1,-12.222782135009766,-4.254920482635498,-4.366894721984863,14.437662124633789,-3.1415607929229736,1.6883492469787598,-7.887676239013672,-2.17002272605896,-0.9969882965087891,-1.495169758796692
m1_4_01,4,full,float,4,1,-15.680340766906738,-7.4270830154418945,-4.113080024719238,0.4669407606124878,5.733094215393066,-2.6213698387145996,-12.220762252807617,3.022545576095581,4.723236083984375,4.830960273742676
m1_4_02,4,full,float,4,1,-13.148248672485352,-7.085146903991699,-2.671278953552246,2.6556618213653564,6.809172630310059,-1.9648528099060059,-11.829675674438477,1.918250322341919,0.1770027130842209,5.371084690093994
m1_4_03,4,full,float,4,1,-8.831052780151367,-7.117079257965088,0.2118086814880371,4.194378852844238,5.294401168823242,-7.332976818084717,-13.818967819213867,4.337368488311768,0.9145725965499878,4.385291576385498
m1_4_04,4,full,float,9,0,-14.575997352600098,-5.756601810455322,-4.571349620819092,2.1509571075439453,2.6790173053741455,-1.397347331047058,-10.256328582763672,-0.022727131843566895,5.59047794342041,5.839098930358887
m1_4_05,4,full,float,9,0,-15.735588073730469,-2.466770648956299,-6.051663398742676,0.9161233901977539,6.706037998199463,-1.1865170001983643,-14.428702354431152,-0.5098705291748047,1.8331513404846191,8.033584594726562
m1_5_01,5,full,float,5,1,-6.0776567459106445,-10.828243255615234,-6.057690143585205,-6.252976417541504,-7.067706108093262,11.588144302368164,-7.509901523590088,-0.4452838897705078,4.591541767120361,3.3310625553131104
m1_5_02,5,full,float,5,1,-9.810977935791016,-10.761295318603516,-7.848501205444336,-1.7522385120391846,-7.034846305847168,16.234359741210938,1.9735877513885498,-13.910841941833496,2.7582390308380127,1.755658745765686
m1_5_03,5,full,float,5,1,-12.083992004394531,-14.598249435424805,-13.510326385498047,-0.4099538326263428,-7.274823188781738,19.17499542236328,-7.082538604736328,-9.675491333007812,1.685184121131897,10.374369621276855
m1_5_04,5,full,float,5,1,-8.178573608398438,-5.5936384201049805,-8.63448715209961,2.523745536804199,-7.95098352432251,14.032158851623535,-2.995100498199463,-5.4227190017700195,3.1976943016052246,-4.008872985839844
m1_5_05,5,full,float,5,1,-8.586803436279297,-8.721288681030273,-11.841293334960938,4.229883670806885,-8.391337394714355,14.4132661819458,0.7566359043121338,-13.688610076904297,1.2300039529800415,-0.23638680577278137
m1_6_01,6,full,float,6,1,0.733444094657898,-6.561777591705322,-1.3435025215148926,-5.355557441711426,-2.5125679969787598,0.226265549659729,9.448236465454102,-11.151012420654297,3.6734414100646973,-8.741584777832031
m1_6_02,6,full,float,6,1,-0.859871506690979,-11.323322296142578,1.7482450008392334,-3.573692798614502,-7.179231643676758,2.2351953983306885,9.014228820800781,-13.067394256591797,6.756593227386475,-5.790891170501709
m1_6_03,6,full,float,6,1,1.212873935699463,-9.743210792541504,0.028406620025634766,-6.495815277099609,-6.5239152908325195,1.4841711521148682,11.667411804199219,-14.805336952209473,5.677428245544434,-8.555106163024902
m1_6_04,6,full,float,6,1,0.6761854887008667,-9.036641120910645,0.39128541946411133,-5.825998783111572,-6.131588935852051,2.388073682785034,11.259442329406738,-14.847030639648438,4.507842540740967,-8.665571212768555
m1_6_05,6,full,float,6,1,-0.3256354331970215,-9.738837242126465,-1.9778846502304077,-5.925507545471191,-3.6494388580322266,4.422790050506592,10.315593719482422,-13.22653579711914,2.824605703353882,-6.631984233856201
