filename,label,writer_id,folder
m4_0_01.jpg,0,m4,0
m4_0_02.jpg,0,m4,0
m4_0_03.jpg,0,m4,0
m4_0_04.jpg,0,m4,0
m4_0_05.jpg,0,m4,0
m4_1_01.jpg,1,m4,1
m4_1_02.jpg,1,m4,1
m4_1_03.jpg,1,m4,1
m4_1_04.jpg,1,m4,1
m4_1_05.jpg,1,m4,1
m4_2_01.jpg,2,m4,2
m4_2_02.jpg,2,m4,2
m4_2_03.jpg,2,m4,2
m4_2_04.jpg,2,m4,2
m4_2_05.jpg,2,m4,2
m4_3_01.jpg,3,m4,3
m4_3_02.jpg,3,m4,3
m4_3_03.jpg,3,m4,3
m4_3_04.jpg,3,m4,3
m4_3_05.jpg,3,m4,3
m4_4_01.jpg,4,m4,4
m4_4_02.jpg,4,m4,4
m4_4_03.jpg,4,m4,4
m4_4_04.jpg,4,m4,4
m4_4_05.jpg,4,m4,4
m4_5_01.jpg,5,m4,5
m4_5_02.jpg,5,m4,5
m4_5_03.jpg,5,m4,5
m4_5_04.jpg,5,m4,5
m4_5_05.jpg,5,m4,5
m4_6_01.jpg,6,m4,6
m4_6_02.jpg,6,m4,6
m4_6_03.jpg,6,m4,6
m4_6_04.jpg,6,m4,6
m4_6_05.jpg,6,m4,6
m4_7_01.jpg,7,m4,7
m4_7_02.jpg,7,m4,7
m4_7_03.jpg,7,m4,7
m4_7_04.jpg,7,m4,7
m4_7_05.jpg,7,m4,7
m4_8_01.jpg,8,m4,8
m4_8_02.jpg,8,m4,8
m4_8_03.jpg,8,m4,8
m4_8_04.jpg,8,m4,8
m4_8_05.jpg,8,m4,8
m4_9_01.jpg,9,m4,9
m4_9_02.jpg,9,m4,9
m4_9_03.jpg,9,m4,9
m4_9_04.jpg,9,m4,9
m4_9_05.jpg,9,m4,9
